NumerTestu,Wariant,ShellSort,MergeSort,QuickSort
35,100.000% posortowana,3300,26700,8100
35,Tablica odwrotna,42300,55300,38100
36,0.000% posortowana,41200,63900,37200
36,25.000% posortowana,40500,51000,39500
36,50.000% posortowana,46400,39300,35100
36,75.000% posortowana,34800,28100,30000
36,95.000% posortowana,23300,20500,25600
36,99.000% posortowana,9400,20000,18800
36,99.700% posortowana,7200,19100,25200
36,100.000% posortowana,3900,25800,9800
36,Tablica odwrotna,41900,60100,45300
37,0.000% posortowana,42000,53800,35800
37,25.000% posortowana,49500,45600,35600
37,50.000% posortowana,46000,58200,42300
37,75.000% posortowana,44000,30400,38900
37,95.000% posortowana,27300,30000,39800
37,99.000% posortowana,8900,32400,60300
37,99.700% posortowana,17200,37700,101800
37,100.000% posortowana,3300,18100,10600
37,Tablica odwrotna,54500,72500,44000
38,0.000% posortowana,45700,66700,36200
38,25.000% posortowana,41000,46500,34500
38,50.000% posortowana,39300,44900,31500
38,75.000% posortowana,36200,27500,25200
38,95.000% posortowana,23100,29300,27900
38,99.000% posortowana,10500,18500,15500
38,99.700% posortowana,5600,18400,18100
38,100.000% posortowana,3300,19000,8800
38,Tablica odwrotna,40600,57300,39300
39,0.000% posortowana,41300,54500,38100
39,25.000% posortowana,54100,72000,52300
39,50.000% posortowana,37500,42100,34700
39,75.000% posortowana,46300,37500,35900
39,95.000% posortowana,22600,20000,35200
39,99.000% posortowana,20000,20000,49600
39,99.700% posortowana,5900,20800,59600
39,100.000% posortowana,3400,25400,9100
39,Tablica odwrotna,42400,56000,44400
40,0.000% posortowana,42100,63000,37400
40,25.000% posortowana,41100,48600,34700
40,50.000% posortowana,52300,37700,32100
40,75.000% posortowana,40200,32300,30000
40,95.000% posortowana,21500,48000,19600
40,99.000% posortowana,7700,45200,17300
40,99.700% posortowana,7500,65200,15200
40,100.000% posortowana,3200,36000,7600
40,Tablica odwrotna,49900,56800,40100
41,0.000% posortowana,41700,53900,38700
41,25.000% posortowana,41100,45000,36800
41,50.000% posortowana,59500,59600,33000
41,75.000% posortowana,40700,33100,31900
41,95.000% posortowana,22300,20700,22100
41,99.000% posortowana,9700,19400,14900
41,99.700% posortowana,5300,18600,28500
41,100.000% posortowana,3300,29500,8300
41,Tablica odwrotna,45000,57400,43700
42,0.000% posortowana,40400,57400,42400
42,25.000% posortowana,45200,4632600,39500
42,50.000% posortowana,40900,42000,39800
42,75.000% posortowana,46000,31800,35600
42,95.000% posortowana,24500,23900,28400
42,99.000% posortowana,15100,26500,22500
42,99.700% posortowana,6100,26400,22400
42,100.000% posortowana,3300,28700,8700
42,Tablica odwrotna,51300,66800,46200
43,0.000% posortowana,41100,54300,45000
43,25.000% posortowana,40800,65000,42100
43,50.000% posortowana,38800,44200,32900
43,75.000% posortowana,35100,26900,27800
43,95.000% posortowana,22800,21300,21400
43,99.000% posortowana,9300,38200,17600
43,99.700% posortowana,5800,256400,28500
43,100.000% posortowana,3300,17800,8600
43,Tablica odwrotna,41200,55400,37500
44,0.000% posortowana,41200,55600,37100
44,25.000% posortowana,40100,45300,34500
44,50.000% posortowana,45900,36300,32000
44,75.000% posortowana,34800,40500,27300
44,95.000% posortowana,22900,80200,20600
44,99.000% posortowana,10400,193400,14900
44,99.700% posortowana,7600,31000,19800
44,100.000% posortowana,4100,23300,11600
44,Tablica odwrotna,42500,78100,61200
45,0.000% posortowana,44800,58600,39000
45,25.000% posortowana,48500,359600,46400
45,50.000% posortowana,47400,219100,48700
45,75.000% posortowana,39600,49500,37800
45,95.000% posortowana,33200,26700,25000
45,99.000% posortowana,12500,22500,15700
45,99.700% posortowana,8300,40200,27700
45,100.000% posortowana,3300,26300,8900
45,Tablica odwrotna,42000,78100,50500
46,0.000% posortowana,52900,69200,44300
46,25.000% posortowana,51900,79800,45800
46,50.000% posortowana,39900,54000,38600
46,75.000% posortowana,40900,59500,48600
46,95.000% posortowana,21200,25100,39900
46,99.000% posortowana,16200,33700,32600
46,99.700% posortowana,5700,19400,57000
46,100.000% posortowana,4700,28500,10000
46,Tablica odwrotna,47000,67100,40700
47,0.000% posortowana,41600,62600,40000
47,25.000% posortowana,57900,61800,38800
47,50.000% posortowana,39200,39100,33900
47,75.000% posortowana,35500,28300,29200
47,95.000% posortowana,23900,24400,23600
47,99.000% posortowana,10800,19400,19600
47,99.700% posortowana,7500,32800,36200
47,100.000% posortowana,4800,41100,12600
47,Tablica odwrotna,51400,81100,48000
48,0.000% posortowana,41800,58500,39200
48,25.000% posortowana,47600,64800,43200
48,50.000% posortowana,38500,39000,44000
48,75.000% posortowana,36800,28400,27800
48,95.000% posortowana,24100,19800,21100
48,99.000% posortowana,10600,21000,31300
48,99.700% posortowana,5800,18900,39300
48,100.000% posortowana,3600,19700,9100
48,Tablica odwrotna,49800,72400,39400
49,0.000% posortowana,43400,72400,47400
49,25.000% posortowana,42000,65600,40700
49,50.000% posortowana,44000,40200,34300
49,75.000% posortowana,34600,28100,27800
49,95.000% posortowana,23400,20800,22400
49,99.000% posortowana,13600,21500,17700
49,99.700% posortowana,6100,26100,23100
49,100.000% posortowana,5900,23500,8800
49,Tablica odwrotna,42000,64600,38900
50,0.000% posortowana,50700,54600,42500
50,25.000% posortowana,51800,45800,35100
50,50.000% posortowana,38500,37700,32800
50,75.000% posortowana,51500,35000,32200
50,95.000% posortowana,23600,22500,35600
50,99.000% posortowana,12000,30200,45600
50,99.700% posortowana,5500,18900,72700
50,100.000% posortowana,3400,20900,9300
50,Tablica odwrotna,41700,57300,37500
51,0.000% posortowana,41600,54400,37500
51,25.000% posortowana,39900,58000,35700
51,50.000% posortowana,39500,40900,32300
51,75.000% posortowana,34500,28000,26400
51,95.000% posortowana,23900,27900,27900
51,99.000% posortowana,9100,20800,17400
51,99.700% posortowana,6100,19200,26900
51,100.000% posortowana,3300,30500,8600
51,Tablica odwrotna,52500,89000,44400
52,0.000% posortowana,44800,58500,39700
52,25.000% posortowana,40700,46900,37100
52,50.000% posortowana,38700,41400,33300
